current_price,volume,trade_price,date,start_price,high_price,low_price
338.950012,105900,,19980910,329.269989,338.950012,326.859985
320.609985,79400,,19980911,329.23999,329.23999,320.609985
314.23999,77600,,19980914,319.23999,319.23999,313.839996
307.269989,86400,,19980915,313.910004,315.450012,307.269989
313.170013,63600,,19980916,310.420013,314.820007,310.420013
310.880005,67300,,19980917,313.390015,315,310.880005
302.209991,68700,,19980918,308.309998,309.309998,299.170013
297.450012,61100,,19980921,301.25,301.25,295.630005
292.609985,56500,,19980922,297.100006,299.649994,292.579987
291.929993,52500,,19980923,291.809998,292.829987,287.459991
310.75,80500,,19980924,293.480011,310.75,293.480011
303.790009,58300,,19980925,309.970001,309.970001,302.579987
305.730011,54000,,19980928,307.820007,312.920013,305.380005
312.329987,61600,,19980929,305.779999,312.359985,305.140015
310.320007,74700,,19980930,311.970001,313.51001,308.959991
305.640015,61400,,19981001,309.519989,309.519989,304.299988
308.25,68500,,19981002,304.779999,308.440002,302.709991
313.48999,70400,,19981007,309.839996,315.980011,309.839996
305.220001,93100,,19981008,315.410004,320.970001,305.220001
327.959991,113300,,19981009,310.369995,328.609985,310.369995
352.170013,135200,,19981012,339.709991,353.540009,336.119995
346.079987,136400,,19981013,352.769989,358.309998,344.910004
346.130005,98000,,19981014,347.25,347.959991,340.029999
368.73999,135800,,19981015,347.98999,369.040009,347.98999
374.01001,143600,,19981016,375.339996,385.029999,370.279999
373.970001,129100,,19981019,385.119995,387.329987,371.25
388.350006,122500,,19981020,372.869995,388.350006,370.190002
380.799988,167900,,19981021,390.410004,394.589996,379.519989
382.519989,139200,,19981022,380.329987,388.160004,378.820007
378.829987,125800,,19981023,383.130005,384.839996,374.140015
373.320007,92900,,19981026,380.600006,380.600006,372.100006
360.429993,93800,,19981027,371.570007,371.570007,353.690002
363.910004,93500,,19981028,360.579987,367.700012,359.119995
370.299988,96900,,19981029,365.109985,374.309998,363.679993
384.75,119600,,19981030,373.230011,389.059998,373.230011
404.609985,145800,,19981102,406.970001,410.839996,403.019989
407.640015,163400,,19981103,405.119995,416.100006,402.700012
413.470001,152800,,19981104,407.5,413.48999,401.790009
418.200012,204100,,19981105,415.450012,420.459991,410.540009
416.299988,233500,,19981106,419.339996,436.119995,416.070007
424.450012,205800,,19981109,416.73999,424.450012,413.059998
403.23999,207000,,19981110,423.200012,423.200012,403.23999
400.700012,143300,,19981111,401.600006,406.720001,393.980011
403.519989,132700,,19981112,402.700012,407.630005,400.720001
404.299988,122700,,19981113,402.609985,405.369995,396.51001
422.209991,166900,,19981116,418.609985,426.070007,412.559998
424.429993,167000,,19981117,423.589996,432.299988,423.589996
423.73999,162200,,19981118,425.779999,428.329987,420.640015
441.059998,185400,,19981119,422,441.059998,422
452.929993,243200,,19981120,443.339996,464.119995,440.869995
453.950012,186100,,19981123,452.910004,458.170013,446.399994
460.779999,187200,,19981124,454.5,466.339996,454.5
461.01001,220900,,19981125,461.269989,467.130005,457.869995
446.589996,213500,,19981126,462.950012,465.230011,446.589996
447,167600,,19981127,445.970001,450.290009,439.190002
451.880005,238400,,19981130,455.440002,461.160004,450.130005
445.959991,191700,,19981201,451.850006,451.850006,438.420013
446.350006,206700,,19981202,446.170013,449.600006,442.140015
448.109985,206900,,19981203,447.869995,455.660004,447.869995
466.339996,244800,,19981204,449.149994,466.339996,446.820007
514.52002,328300,,19981207,491.980011,518.219971,491.980011
509.850006,329500,,19981208,514.679993,541.22998,505.350006
526.52002,304700,,19981209,511.899994,526.52002,511.899994
567.609985,357500,,19981210,534.469971,568.799988,534.469971
555.169983,335500,,19981211,561.299988,576.140015,551.669983
559.299988,330000,,19981214,558.429993,570.539978,541.26001
579.859985,331100,,19981215,558.01001,586.109985,554.200012
545.969971,394100,,19981216,582.159973,599.320007,539.549988
528.890015,244000,,19981217,537.090027,544.039978,518.570007
524.849976,234500,,19981218,528.400024,537.559998,515.73999
565.27002,258900,,19981221,533.219971,565.27002,533.219971
547.75,304100,,19981222,565.179993,572.859985,546.030029
